x,y,token
19.45182,34.997715,محصول
-28.609201,38.02495,توی
28.981407,39.22502,بازار
-21.963257,37.621536,اصلا
-29.204384,44.71742,نمیشه
18.299025,36.921318,تهران
34.733665,19.275475,گشتم
-17.503614,30.43112,واقعا
-38.241333,16.312374,کیفیتیه
-2.9500687,58.359062,بیس
-12.865322,22.586864,کوبش
20.27137,49.450394,داره
-14.68762,46.285862,دوبار
30.202526,36.60324,مدل
-7.710193,41.1353,گرفتم
-2.8269534,9.977202,اولاش
-19.54049,29.457954,خوبه
-6.547206,39.808163,ماه
-44.06084,34.98682,باد
-25.155432,46.829693,میکنه
-6.145682,11.806829,صددرصد
4.563989,54.243053,شارژ
21.875662,29.721437,عرض
0.48049536,47.243702,نیم
-22.690748,54.842335,استفاده
-6.5494375,40.28668,روز
-44.98912,35.408024,صفر
1.8076197,46.919106,درصد
-29.27261,44.74328,میشه
42.903767,38.942642,گوشی
-26.62872,50.163532,داغ
42.300148,27.860115,کارای
-40.009293,24.12554,سبک
40.02085,25.447565,دیدن
38.515564,34.740643,فیلم
10.3524885,24.572441,مطالعه
-19.644772,29.40667,مناسبه
31.09208,18.711973,خریدش
21.346088,-1.947165,شگفت
46.31064,-22.509481,انگیز
32.201797,20.564545,حتما
-1.6175619,30.752245,پیشنهاد
-29.011427,22.753065,ظاهر
-40.07638,15.467934,بامزه
-43.94639,16.122414,ای
-41.777344,14.299734,عکسش
-41.611614,13.899976,شبیه
-42.735203,22.849705,جنس
-37.00311,29.87184,چوب
-20.71073,27.839848,معمولی
-23.595049,38.730453,انگار
-53.743793,15.915681,اسپری
-46.516846,12.393875,رنگ
-28.920885,31.678581,بسته
-17.723291,27.459871,العاده
-21.005707,30.090054,بد
-34.537773,32.14475,آینه
-21.883577,41.20399,یه
-33.653316,33.376675,گوشه
-32.441048,33.1192,قاب
-33.758766,33.60666,تیکه
-30.423447,11.599751,آیینه
-39.63698,9.549087,پریده
-34.508995,22.312418,یکم
-33.39492,20.598444,کیفیتش
30.09968,38.76913,بالاتر
38.250465,31.396862,برنامه
7.4970675,23.334991,نویس
-12.3651705,34.660126,هستم
-36.573402,36.39677,راحتی
21.350504,39.164772,دقت
-26.60984,50.229053,کار
34.692562,44.67619,موس
-12.598812,43.798496,واسم
32.354034,22.953772,مهمه
24.905512,29.78402,جرات
25.674295,29.659887,میگم
46.512115,31.82965,پد
26.1036,41.66217,های
21.516768,23.651796,منه
-37.293518,25.512974,پهن
-44.844498,18.942205,نرمه
-11.782534,6.7023706,میزم
-35.897232,27.099901,محکم
1.0176095,56.824787,متصل
6.342242,46.41302,قیمت
46.26884,-22.537703,انگیزش
-7.71642,41.03946,خریدم
-10.662427,35.503246,راضیم
-42.21936,17.433956,شیکه
8.193223,40.702724,کی
-46.56134,14.178208,دیده
13.409911,-0.01611594,پرسیده
8.037062,41.99562,کجا
16.384483,33.396805,خریدی
6.343566,46.429897,قیمتش
-32.491108,23.112787,جاداره
-37.195946,28.132267,کیف
20.620955,32.050674,ممنون
-52.373207,15.6481085,جرم
